"Name","Runtime","device_variation","n_conductance_states","noise_scale","non_linearity","ADC_resolution","t_min","weight_decay","perplexity","test_accuracy","test_loss","test_perplexity","train_accuracy","train_loss","train_loss_epoch","val_accuracy","val_loss","write_efficiency"
"unique-sweep-162","11238","0.1","64","0.2","4","8","0.001","0.1","76.38230499360256","0.2707617217920762","4.293970036588935","73.25672383025238","0.2874755859375","4.093636512756348","4.446272070224216","0.2670723895679843","4.335751059315349","3359619.885017242"
"efficient-sweep-161","10492","0.1","64","0.2","2","8","0.001","0.1","76.68603280795861","0.27039391876798347","4.294271906422483","73.27884116339116","0.27392578125","4.17089319229126","4.445985235821765","0.26767959366429406","4.33971959019955","3313848.254148148"
"divine-sweep-160","11099","0.1","64","0.2","1","8","0.001","0.1","76.60864484045307","0.2709308612290654","4.29577155860488","73.38881637914072","0.2694091796875","4.126796245574951","4.446448605459598","0.26691745406277895","4.338709927303657","3309365.1439074073"
"dry-sweep-159","13817","0.1","64","0.1","4","8","0.001","0.1","75.65261692667019","0.2714667789907941","4.285752173555286","72.65717697858577","0.26611328125","4.25349760055542","4.206644359185896","0.2687929035491793","4.326152032189529","3422330.6982028987"
"neat-sweep-158","11622","0.1","64","0.1","2","8","0.001","0.1","76.65729760714187","0.27067657568019543","4.295366756203861","73.35911442217984","0.263427734375","4.258902072906494","4.443854451724391","0.26747353088766485","4.339344807663195","3315963.2015"
"confused-sweep-157","12417","0.1","64","0.1","1","8","0.001","0.1","75.90721740934262","0.2722492330125341","4.2855240430954415","72.640603553914","0.281005859375","4.131543159484863","4.441635858100254","0.2688030567387695","4.329511770912901","3330571.14375"
"lemon-sweep-156","10872","0.1","64","0","4","8","0.001","0.1","76.10937454066686","0.27149473407002384","4.286967477882348","72.7455312379421","0.2701416015625","4.245842933654785","4.443039237770324","0.26777436881125155","4.332171444411699","3279337.16722807"
"lively-sweep-155","10398","0.1","64","0","2","8","0.001","0.1","76.7292084565961","0.271145663830982","4.298851449504819","73.6151943576555","0.26220703125","4.223932266235352","4.441130906846519","0.2671696578469052","4.3402824501790604","3249421.2714814814"
"rosy-sweep-154","15172","0.1","64","0","1","8","0.001","0.1","75.01750661410972","0.2730360099846705","4.274541712859141","71.847205113366","0.265380859375","4.256659507751465","4.198902155556672","0.26902595718923866","4.317721507819209","3417199.8910675677"
"fast-sweep-153","8543","0.1","32","0.2","4","8","0.001","0.1","77.4135921209845","0.26956058201898564","4.305703041794619","74.12130751630981","0.2593994140625","4.297516822814941","4.444655059490025","0.2659680043728812","4.349162373976511","3544251.19375"
"iconic-sweep-152","12739","0.1","32","0.2","2","8","0.001","0.1","76.14272006415328","0.2717977889037356","4.289256765777022","72.91225747135529","0.27490234375","4.198886394500732","4.2084226735784505","0.2681386551366901","4.3326094748257455","3789053.9419545457"
"misunderstood-sweep-151","10768","0.1","32","0.2","1","8","0.001","0.1","76.86571167392479","0.2700876297269381","4.297683978960842","73.52930093542996","0.2730712890625","4.176536560058594","4.441921685180363","0.26606039478491716","4.34205989507308","3704898.8920714287"
"scarlet-sweep-150","7109","0.1","32","0.1","4","8","0.001","0.1","77.98004896846642","0.2696927362136949","4.309044327247638","74.36938217620303","0.2689208984375","4.122594356536865","4.443850335124536","0.2650486167959338","4.3564530115161215","3441158.777846154"
"genial-sweep-149","11438","0.1","32","0.1","2","8","0.001","0.1","76.41745411886802","0.2707173395013403","4.294079721862759","73.26475945475191","0.2769775390625","4.1884965896606445","4.439214077355319","0.26723877902728255","4.3362111271333825","3724106.6546229506"
"apricot-sweep-148","9415","0.1","32","0.1","1","8","0.001","0.1","76.65406388086132","0.27083802987203554","4.29662523717459","73.45149358822866","0.263916015625","4.23316764831543","4.441925469573051","0.26707217277390055","4.33930262257985","3626511.561"
"comic-sweep-147","12560","0.1","32","0","4","8","0.001","0.1","75.79221569045104","0.27215163039914086","4.285588963669098","72.64531957664927","0.267822265625","4.182181358337402","4.205582278677813","0.2683843912306504","4.327995591998159","3741329.353707692"
"rosy-sweep-146","14265","0.1","32","0","2","8","0.001","0.1","75.17637174657528","0.2717400534995532","4.280623438956625","72.28549155385504","0.2808837890625","4.1720123291015625","4.2035370368915945","0.2684177775195519","4.319836976085235","3810850.1494"
"lively-sweep-145","9437","0.1","32","0","1","8","0.001","0.1","76.2110225495679","0.271192896066794","4.291887265504439","73.10430562532714","0.265380859375","4.247074127197266","4.438917351158315","0.26819151676078423","4.33350610511285","3652228.8945185184"
"different-sweep-144","8436","0.1","16","0.2","4","8","0.001","0.1","77.28102617907535","0.2700401413162878","4.303316561077951","73.94462934860087","0.2596435546875","4.234670639038086","4.442135108138179","0.26678658270087274","4.347448468530844","4276593.993130435"
"curious-sweep-143","11308","0.1","16","0.2","2","8","0.001","0.1","76.27745744923787","0.2708188808028724","4.291329808100585","73.06356444569387","0.283203125","4.097118377685547","4.442294180998901","0.2680778082638436","4.3343774483628295","4431213.532730158"
"flowing-sweep-142","9067","0.1","16","0.2","1","8","0.001","0.1","77.05296642348878","0.2717314075987605","4.299757703715005","73.68193867656771","0.2672119140625","4.209567070007324","4.440748846098905","0.26753036706996147","4.344493061005406","4315074.872938775"
"glamorous-sweep-141","6430","0.1","16","0.1","4","8","0.001","0.1","78.39973783079176","0.26845970267323566","4.319780440324525","75.17212171335171","0.260986328125","4.246423721313477","4.436994288359319","0.2657095135603254","4.361820583355768","4101556.4772941177"
"charmed-sweep-140","6911","0.1","16","0.1","2","8","0.001","0.1","78.26848991944178","0.26993715903129023","4.313773767732007","74.72194078839402","0.2738037109375","4.150047302246094","4.438007346593414","0.2652533788080603","4.360145094407707","4128014.9831666662"
"major-sweep-139","10543","0.1","16","0.1","1","8","0.001","0.1","76.3783149443607","","","","0.26904296875","4.200562000274658","4.441773778800435","0.26731223608933535","4.335698820076671","4383110.480381023"
"solar-sweep-138","8190","0.1","16","0","4","8","0.001","0.1","77.04382696802256","0.2704218738472132","4.301191242877092","73.78764036685361","0.2698974609375","4.205467700958252","4.438053613261688","0.26641210705349666","4.344374441334279","4239287.761136363"
"autumn-sweep-137","6250","0.1","16","0","2","8","0.001","0.1","78.68645346714267","0.2676939960815497","4.326320335147676","75.66535055741431","0.2611083984375","4.271877288818359","4.438083928131025","0.26461737723095563","4.365471011854551","4104958.4904411766"
"balmy-sweep-136","6662","0.1","16","0","1","8","0.001","0.1","78.28858535099734","0.26833930049923355","4.320616661882236","75.23500855206788","0.26220703125","4.224851608276367","4.439758679992584","0.26463844238942924","4.360401811411792","4136282.0205277777"
"super-sweep-135","10368","0.05","64","0.2","4","8","0.001","0.1","76.61639247823908","0.271013317505144","4.295565060424605","73.37366328670274","0.2547607421875","4.235720634460449","4.448453116216333","0.267249943922597","4.338811054872991","3322953.286727273"
"magic-sweep-134","7994","0.05","64","0.2","2","8","0.001","0.1","78.0593248916672","0.2694288120865338","4.312389287208494","74.61856129665284","0.266845703125","4.201622486114502","4.446163733063284","0.2655102436649878","4.357469113132789","3124516.8157619047"
"light-sweep-133","8379","0.05","64","0.2","1","8","0.001","0.1","77.54071195845302","0.2703342620525138","4.3072214688415675","74.23394080547332","0.2684326171875","4.149982929229736","4.443951344547934","0.2661274564214986","4.35080311402231","3184445.0254444443"
"divine-sweep-132","8726","0.05","64","0.1","4","8","0.001","0.1","77.62625007928105","0.27003187967775255","4.3077605644792145","74.27397078815194","0.271728515625","4.174380779266357","4.4422603533937","0.26509569724446047","4.351905644204889","3151077.4157555555"
"chocolate-sweep-131","8494","0.05","64","0.1","2","8","0.001","0.1","77.6432341087139","0.26933918291498277","4.308487594596237","74.32798983618373","0.278076171875","4.140061378479004","4.443720610185822","0.26554803810025945","4.352124412620195","3142588.7031777776"
"dulcet-sweep-130","6209","0.05","64","0.1","1","8","0.001","0.1","78.63203882992647","0.2690463110310935","4.320520278507219","75.22775749747036","0.2662353515625","4.266698837280273","4.441344167145707","0.26506863411633574","4.364779235082581","2949367.8010857143"
"major-sweep-129","13274","0.05","64","0","4","8","0.001","0.1","75.57233052467313","0.27189042812963676","4.282173674087463","72.39763796650664","0.2706298828125","4.174342155456543","4.204607183752594","0.26870423476891486","4.3250902178408595","3401661.9043380283"
"helpful-sweep-128","17100","0.05","64","0","2","8","0.001","0.1","75.02226297804734","0.27322868548492873","4.275818141110066","71.93897146984834","0.26611328125","4.233270168304443","4.20445350482067","0.26953040088983854","4.317784909195419","3479968.391292683"
"frosty-sweep-127","13356","0.05","64","0","1","8","0.001","0.1","76.0888591136677","0.271647574382926","4.290035756212222","72.9690775508102","0.2623291015625","4.206010818481445","4.44287832018219","0.2687234571776763","4.331901856169696","3326591.502819672"
"splendid-sweep-126","11550","0.05","32","0.2","4","8","0.001","0.1","76.54842541322148","0.2709421969656603","4.293890592040224","73.25090421405909","0.26220703125","4.28426456451416","4.442351282847356","0.26795456082721686","4.337923552502479","3667274.9815849056"
"fanciful-sweep-125","8702","0.05","32","0.2","2","8","0.001","0.1","78.11416799057558","0.2691188405321879","4.310375763146532","74.46846618877933","0.2637939453125","4.24167537689209","4.440935635715709","0.26503503103335047","4.358171448723172","3431156.7827297295"
"expert-sweep-124","9491","0.05","32","0.2","1","8","0.001","0.1","77.39279935215787","0.27015247398288345","4.3069554925208235","74.21419896057157","0.268310546875","4.269315719604492","4.4389556168657895","0.26657723188063953","4.348893744642104","3483639.351475"
"proud-sweep-123","13119","0.05","32","0.1","4","8","0.001","0.1","75.7357350602498","0.27165810957315123","4.284386862724387","72.55804503627068","0.2698974609375","4.215949058532715","4.441005151875942","0.26770011683755823","4.327250110619481","3729580.82931746"
"polished-sweep-122","13037","0.05","32","0.1","2","8","0.001","0.1","75.83422406571593","0.27205915128251373","4.28279509979396","72.44264170161934","0.2789306640625","4.163972854614258","4.440624472341678","0.2681560709280868","4.3285496955754414","3711397.3111166665"
"decent-sweep-121","12931","0.05","32","0.1","1","8","0.001","0.1","76.05350823593697","0.2711433582574373","4.289184959996427","72.90702213775845","0.2703857421875","4.18409538269043","4.437885067579812","0.2680995960692631","4.331437148291375","3721530.994311475"
"legendary-sweep-120","8328","0.05","32","0","4","8","0.001","0.1","77.21390346677636","0.27079909129661356","4.300917918975248","73.76747519701767","0.272216796875","4.209023475646973","4.43752785617097","0.26691167288721157","4.346579537535164","3560329.3258936172"
"zesty-sweep-119","10552","0.05","32","0","2","8","0.001","0.1","75.78386804179388","0.2714761293723921","4.287256886554952","72.76658747235705","0.274169921875","4.152475357055664","4.436305282231322","0.26831776318223655","4.3278854473307415","3704009.143966667"
"sage-sweep-118","9121","0.05","32","0","1","8","0.001","0.1","76.57365098896993","0.2714397205234984","4.292949820232853","73.18202423376205","0.2725830078125","4.134725570678711","4.441769449886582","0.2677284445978383","4.338253035703979","3630326.9944339623"
"gentle-sweep-117","11916","0.05","16","0.2","4","8","0.001","0.1","76.08901517864453","0.2712821729979424","4.288400519533011","72.84985334521501","0.2740478515625","4.146190643310547","4.212456867664206","0.267179269051286","4.331903907256","4455713.243910448"
"treasured-sweep-116","7899","0.05","16","0.2","2","8","0.001","0.1","77.15338833727584","0.2701790201005025","4.305965998488073","74.14080077307767","0.2576904296875","4.278102874755859","4.4435945212898496","0.26676179591062765","4.3457954966688215","4266793.148133334"
"noble-sweep-115","8888","0.05","16","0.2","1","8","0.001","0.1","77.28565737494633","0.2701532425073983","4.303779029327869","73.97883430066905","0.2694091796875","4.214420318603516","4.442395093123165","0.26655060234068234","4.347508393422365","4316902.37934"
"valiant-sweep-114","9300","0.05","16","0.1","4","8","0.001","0.1","77.00978774575773","0.27118802874486625","4.299906297129415","73.69288814090504","0.274658203125","4.156136989593506","4.438705818756268","0.266989357433898","4.343932527356706","4318946.934686274"
"young-sweep-113","9343","0.05","16","0.1","2","8","0.001","0.1","76.7243459514699","0.270831625501078","4.297315909962254","73.50224205933998","0.2691650390625","4.196641445159912","4.446198938865116","0.2668657486737983","4.340219075887776","4322145.194423077"
"floral-sweep-112","13344","0.05","16","0.1","1","8","0.001","0.1","75.97314163819495","0.2707850977460713","4.286316979701191","72.69822578990656","0.2630615234375","4.219483852386475","4.208221205371261","0.2682406567531068","4.330379878328578","4479123.894397261"
"legendary-sweep-111","6674","0.05","16","0","4","8","0.001","0.1","77.77314402659802","0.2691995676281079","4.310098502788541","74.44782189723882","0.26953125","4.272306442260742","4.433535609719615","0.2659771458567471","4.3537961791315345","4167239.3386052633"
"toasty-sweep-110","6072","0.05","16","0","2","8","0.001","0.1","78.46304443794216","0.2686341257162648","4.318649809607177","75.0871778325836","0.2662353515625","4.256884574890137","4.438133316848532","0.26502375774099407","4.362627742449491","4110090.9544857144"
"radiant-sweep-109","8281","0.05","16","0","1","8","0.001","0.1","77.47750738446649","0.2695641684667219","4.307101351600312","74.22502456480406","0.2596435546875","4.188014984130859","4.4378050205386375","0.26609038463317286","4.349987666938002","4296128.445770834"
"swift-sweep-108","11426","0","64","0.2","4","8","0.001","0.1","75.69420279671878","0.27206690057137234","4.286243035269568","72.6928503596646","0.254150390625","4.307919979095459","4.4452199334673645","0.2691049425004278","4.326701576225818","3410271.941765625"
"classic-sweep-107","6967","0","64","0.2","2","8","0.001","0.1","78.30336357075566","0.2689488365051194","4.3157483081487245","74.86962803973597","0.264892578125","4.201966762542725","4.443523201227738","0.26559818979830635","4.3605905595550265","3054933.284473684"
"quiet-sweep-106","7299","0","64","0.2","1","8","0.001","0.1","78.01501584206814","0.2692202537463008","4.31407602862542","74.74452972267804","0.27197265625","4.188446044921875","4.450469668234915","0.26523213298785026","4.356901318957512","3116975.3321463414"
"sweepy-sweep-105","11081","0","64","0.1","4","8","0.001","0.1","76.01062562826863","0.27097377051448107","4.285847865982173","72.66413005285453","0.275634765625","4.147836685180664","4.443840026775979","0.2673949791646433","4.33087314141197","3347108.1406612904"
"driven-sweep-104","8331","0","64","0.1","2","8","0.001","0.1","77.2065452671878","0.27046936225786355","4.300553311608741","73.74058393482629","0.2572021484375","4.242380142211914","4.4423218490920915","0.2664893941443629","4.346484236690562","3156814.092673913"
"iconic-sweep-103","9566","0","64","0.1","1","8","0.001","0.1","76.45552389979888","0.2710083541176519","4.295751359748929","73.38733402398128","0.271728515625","4.180152416229248","4.443843961912505","0.26838048893714245","4.336709184830841","3263665.36290566"
"blooming-sweep-102","12529","0","64","0","4","8","0.001","0.1","76.00296753593372","0.2711337196791461","4.288711249820032","72.87249351836604","0.267333984375","4.171031951904297","4.204783187549829","0.26839053372969074","4.330772386049479","3389844.0530441175"
"bright-sweep-101","11970","0","64","0","2","8","0.001","0.1","75.75006900101795","0.27204586221277677","4.2834526485644595","72.49029193606164","0.27392578125","4.144850730895996","4.204581801395521","0.26866156246675826","4.327439355293591","3369790.0547014927"
"laced-sweep-100","9771","0","64","0","1","8","0.001","0.1","76.85837307393165","0.27054208389008666","4.297659512665037","73.52750196781005","0.2672119140625","4.222503662109375","4.445808830030314","0.26697176098076486","4.341964417516512","3234368.6804339625"
"warm-sweep-99","11880","0","32","0.2","4","8","0.001","0.1","76.21388769131052","0.2706189683634322","4.292377394765699","73.14014496687578","0.25835129618644714","4.26051139831543","4.210018346732877","0.2671030297984913","4.3335436992533145","3793230.866424101"
"rose-sweep-98","9854","0","32","0.2","2","8","0.001","0.1","76.79229487938674","0.2699633849303614","4.298889129834775","73.617968254729","0.2672119140625","4.216584205627441","4.444428731189462","0.26699734268265046","4.341104308029209","3673420.882537037"
"lilac-sweep-97","8913","0","32","0.2","1","8","0.001","0.1","76.884844882337","0.2704558170132883","4.300991533717014","73.77290577053773","0.2718505859375","4.181726455688477","4.440254404645607","0.2668158860345298","4.342308781437326","3608276.081041666"
"bumbling-sweep-96","6086","0","32","0.1","4","8","0.001","0.1","78.26604774412844","0.2692302765868494","4.313301588592727","74.68666697514195","0.2669677734375","4.261967658996582","4.438215201022135","0.2646370332278847","4.360113891385677","3341402.147264706"
"snowy-sweep-95","7893","0","32","0.1","2","8","0.001","0.1","77.16680321721707","0.27015529190610477","4.301607023942882","73.8183262494699","0.266845703125","4.1494245529174805","4.44031622295928","0.26599354994241947","4.345969354410182","3507351.291511628"
"fearless-sweep-94","6094","0","32","0.1","1","8","0.001","0.1","78.18519588448923","0.2687408865801274","4.314567778019758","74.7812943386472","0.266357421875","4.21224308013916","4.438065204532214","0.26508153336432044","4.359080318689652","3343242.184264706"
"wobbly-sweep-93","10910","0","32","0","4","8","0.001","0.1","75.88662520373202","0.2720806379470763","4.288120895636132","72.82948563311778","0.279541015625","4.154038429260254","4.437983353576065","0.2690046752366813","4.329240452849105","3738580.88075"
"fanciful-sweep-92","10285","0","32","0","2","8","0.001","0.1","76.27692759989687","0.2712201786870732","4.291944605591945","73.10849755279034","0.267822265625","4.15278434753418","4.44015964548162","0.2679217887882194","4.334370501996249","3704465.693066667"
"vocal-sweep-91","11264","0","32","0","1","8","0.001","0.1","75.85661941527732","0.2719397097641552","4.287805293946272","72.80650415106842","0.2757568359375","4.182373523712158","4.438631637976762","0.2678564976366554","4.328844971799242","3739832.167730158"
"magic-sweep-90","7765","0","16","0.2","4","8","0.001","0.1","77.76132952629624","0.2686396014534336","4.3126986792970445","74.641651260919","0.266357421875","4.241884708404541","4.446442048660062","0.26523693859004066","4.353644257823613","4236695.7284186045"
"valiant-sweep-89","12930","0","16","0.2","2","8","0.001","0.1","75.60052241863582","0.27216328635428366","4.279793447029518","72.22552007078458","0.2664794921875","4.184133529663086","4.20845771428411","0.26846962743792174","4.325463193461027","4490663.110847223"
"curious-sweep-88","8698","0","16","0.2","1","8","0.001","0.1","77.36591197370801","0.26959334037643357","4.3039031729186545","73.98801886889214","0.2608642578125","4.177769660949707","4.443026810879579","0.26662532403489053","4.348546269808668","4316041.016306123"
"sleek-sweep-87","7577","0","16","0.1","4","8","0.001","0.1","77.4755204892981","0.26991692121906435","4.3045339290595415","74.03470198742984","0.2698974609375","4.217130184173584","4.439502884520347","0.2658833462831666","4.349962021809336","4233443.971139535"
"grateful-sweep-86","9410","0","16","0.1","2","8","0.001","0.1","76.6908212027918","0.27025244621353095","4.2973680339898195","73.50607339208257","0.259521484375","4.307162284851074","4.438330236201872","0.267139848660386","4.339782029801218","4335274.001528302"
"stoic-sweep-85","9890","0","16","0.1","1","8","0.001","0.1","76.25367470191348","0.2712800595555264","4.293626013603218","73.23152616793246","0.2740478515625","4.14488410949707","4.441380654411576","0.2676537951683247","4.334065607138265","4340336.48225926"
"fast-sweep-84","10741","0","16","0","4","8","0.001","0.1","75.94806326652186","0.2719227061592629","4.284693256196081","72.5802797537009","0.26611328125","4.17826509475708","4.43516995224043","0.26822931119605586","4.330049728605021","4420260.52068254"
"rich-sweep-83","7959","0","16","0","2","8","0.001","0.1","77.67436943683187","0.2696298452908917","4.307779174899502","74.27535307082712","0.25927734375","4.2597432136535645","4.443140431240939","0.2660662843575264","4.352525337278112","4243704.511204545"
